_id,address.building,address.coord,address.street,address.zipcode,borough,cuisine,grades,name,restaurant_id
623dfc93033c411989315b0a,502,"[-73.976112,40.786714]",Amsterdam Avenue,10024,Manhattan,Chicken,"[{""date"":{""$date"":""2014-09-15T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2014-03-04T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2013-07-18T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2013-01-09T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2012-04-10T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2011-11-15T00:00:00Z""},""grade"":""A"",""score"":7}]","Harriet'S Kitchen",40362098
623dfc93033c411989315b0b,730,"[-73.96805719999999,40.7925587]",Columbus Avenue,10025,Manhattan,American ,"[{""date"":{""$date"":""2014-09-12T00:00:00Z""},""grade"":""B"",""score"":26},{""date"":{""$date"":""2013-08-28T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-03-25T00:00:00Z""},""grade"":""B"",""score"":20},{""date"":{""$date"":""2012-02-14T00:00:00Z""},""grade"":""A"",""score"":12}]",P & S Deli Grocery,40362264
623dfc93033c411989315b0c,18,"[-73.996984,40.72589]",West Houston Street,10012,Manhattan,American ,"[{""date"":{""$date"":""2014-04-03T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-04-05T00:00:00Z""},""grade"":""A"",""score"":4},{""date"":{""$date"":""2012-03-21T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2011-04-27T00:00:00Z""},""grade"":""A"",""score"":5}]",Angelika Film Center,40362274
623dfc93033c411989315b0d,531,"[-73.9634876,40.6940001]",Myrtle Avenue,11205,Brooklyn,Hamburgers,"[{""date"":{""$date"":""2014-03-18T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2013-03-18T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2012-10-10T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2011-09-22T00:00:00Z""},""grade"":""A"",""score"":2}]",White Castle,40362344
623dfc93033c411989315b0e,103-05,"[-73.8642349,40.75356]",37 Avenue,11368,Queens,Chinese,"[{""date"":{""$date"":""2014-04-21T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-11-12T00:00:00Z""},""grade"":""A"",""score"":5},{""date"":{""$date"":""2013-06-04T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-11-14T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2012-10-11T00:00:00Z""},""grade"":""P"",""score"":0},{""date"":{""$date"":""2012-05-24T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2011-12-08T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2011-07-20T00:00:00Z""},""grade"":""A"",""score"":11}]",Ho Mei Restaurant,40362432
623dfc93033c411989315b0f,60,"[-74.0085357,40.70620539999999]",Wall Street,10005,Manhattan,Turkish,"[{""date"":{""$date"":""2014-09-26T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-09-18T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2012-09-21T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2012-05-09T00:00:00Z""},""grade"":""A"",""score"":11}]",The Country Cafe,40362715
623dfc93033c411989315b10,195,"[-73.9246028,40.6522396]",East   56 Street,11203,Brooklyn,Caribbean,"[{""date"":{""$date"":""2014-05-13T00:00:00Z""},""grade"":""A"",""score"":2},{""date"":{""$date"":""2013-05-08T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2012-09-22T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2011-06-06T00:00:00Z""},""grade"":""A"",""score"":12}]","Shashemene Int'L Restaura",40362869
623dfc93033c411989315b11,107,"[-74.00920839999999,40.7132925]",Church Street,10007,Manhattan,American ,"[{""date"":{""$date"":""2014-07-18T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2014-02-26T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-08-26T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-02-01T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-01-17T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2011-10-18T00:00:00Z""},""grade"":""A"",""score"":11}]",Downtown Deli,40363021
623dfc93033c411989315b12,1006,"[-73.84856870000002,40.8903781]",East 233 Street,10466,Bronx,"Ice Cream, Gelato, Yogurt, Ices","[{""date"":{""$date"":""2014-04-24T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-09-05T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-02-21T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2012-07-03T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2011-07-11T00:00:00Z""},""grade"":""A"",""score"":5}]",Carvel Ice Cream,40363093
623dfc93033c411989315b13,56,"[-73.991495,40.692273]",Court Street,11201,Brooklyn,Donuts,"[{""date"":{""$date"":""2014-12-30T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2014-01-15T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2013-01-08T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2012-01-19T00:00:00Z""},""grade"":""A"",""score"":10}]","Dunkin' Donuts",40363098
623dfc93033c411989315b14,7615,"[-74.0228449,40.6281815]",5 Avenue,11209,Brooklyn,American ,"[{""date"":{""$date"":""2014-12-04T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-10-24T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2013-04-18T00:00:00Z""},""grade"":""A"",""score"":5},{""date"":{""$date"":""2012-04-05T00:00:00Z""},""grade"":""A"",""score"":13}]",Mejlander & Mulgannon,40363117
623dfc93033c411989315b15,120,"[-73.9998042,40.7251256]",Prince Street,10012,Manhattan,Bakery,"[{""date"":{""$date"":""2014-10-17T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2013-09-18T00:00:00Z""},""grade"":""A"",""score"":13},{""date"":{""$date"":""2013-04-30T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2012-04-20T00:00:00Z""},""grade"":""A"",""score"":7},{""date"":{""$date"":""2011-12-19T00:00:00Z""},""grade"":""A"",""score"":3}]","Olive'S",40363151
623dfc93033c411989315b16,1236,"[-73.8893654,40.81376179999999]",238 Spofford Ave,10474,Bronx,Chinese,"[{""date"":{""$date"":""2013-12-30T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2013-01-08T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2012-06-12T00:00:00Z""},""grade"":""B"",""score"":15}]",Happy Garden,40363289
623dfc93033c411989315b17,625,"[-73.990494,40.7569545]",8 Avenue,10018,Manhattan,American ,"[{""date"":{""$date"":""2014-06-09T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2014-01-10T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2012-12-07T00:00:00Z""},""grade"":""A"",""score"":4},{""date"":{""$date"":""2011-12-13T00:00:00Z""},""grade"":""A"",""score"":9},{""date"":{""$date"":""2011-09-09T00:00:00Z""},""grade"":""A"",""score"":13}]",Cafe Metro,40363298
623dfc93033c411989315b18,1069,"[-73.902463,40.694924]",Wyckoff Avenue,11385,Queens,Delicatessen,"[{""date"":{""$date"":""2014-05-08T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2013-12-12T00:00:00Z""},""grade"":""A"",""score"":8},{""date"":{""$date"":""2013-06-21T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2012-12-24T00:00:00Z""},""grade"":""B"",""score"":25},{""date"":{""$date"":""2011-10-19T00:00:00Z""},""grade"":""A"",""score"":11},{""date"":{""$date"":""2011-06-15T00:00:00Z""},""grade"":""A"",""score"":10}]","Tony'S Deli",40363333
623dfc93033c411989315b19,405,"[-73.97534999999999,40.7516269]",Lexington Avenue,10174,Manhattan,Sandwiches/Salads/Mixed Buffet,"[{""date"":{""$date"":""2014-02-21T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2013-09-13T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2012-08-28T00:00:00Z""},""grade"":""A"",""score"":0},{""date"":{""$date"":""2011-09-13T00:00:00Z""},""grade"":""A"",""score"":12},{""date"":{""$date"":""2011-05-03T00:00:00Z""},""grade"":""A"",""score"":5}]",Lexler Deli,40363426
623dfc93033c411989315b1a,2491,"[-74.1459332,40.6103714]",Victory Boulevard,10314,Staten Island,Delicatessen,"[{""date"":{""$date"":""2015-01-09T00:00:00Z""},""grade"":""A"",""score"":3},{""date"":{""$date"":""2013-12-05T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-06-19T00:00:00Z""},""grade"":""A"",""score"":10},{""date"":{""$date"":""2013-01-08T00:00:00Z""},""grade"":""A"",""score"":11}]",Bagels N Buns,40363427
